time,netdata,apps.plugin,node.d.plugin,python.d.plugin,go.d.plugin,nfs,containers,ksmd,system,kernel,other
2019-07-12 11:48:25,0.5004,0.5004,0,0,0,0,0,0,0,0,0
2019-07-12 11:48:24,0.25,0.2503,0,0,0,0,0.4998,0,0,0,0
2019-07-12 11:48:23,0.4999,0.4995,0,0.4995,0,0,0,0,0,0.5003,0
2019-07-12 11:48:22,0,0,0,0,0,0,0,0,0,0,0
2019-07-12 11:48:21,0.499,0.4988,0,0,0,0,0,0,0,0,0
2019-07-12 11:48:20,0.6661,0.6652,0,0,0,0,0.6661,0,0,0,0
2019-07-12 11:48:19,0,0,0,0,0,0,0,0,0,0,0
2019-07-12 11:48:18,0.6638,1.3256,0,0,0,0,0,0,0,0,0
2019-07-12 11:48:17,0.3339,0.3345,0,0,0.3345,0,0,0,0,0,0
2019-07-12 11:48:16,0.3327,0.3324,0,0,0,0,0.3328,0,0,0,0
2019-07-12 11:48:15,0,0,0,0,0,0,0,0,0,0,0
2019-07-12 11:48:14,0.6787,0.6941,0,0,0,0,0,0,0.677,0,0
2019-07-12 11:48:13,0.4266,1.2537,0,0,0,0,0,0,0.8368,0,0.419
2019-07-12 11:48:12,0.3323,0.3318,0,0,0,0,0,0,0,0.3318,0
2019-07-12 11:48:11,1.0006,1.0014,0,0,0,0,1.0004,0,0,0,0
2019-07-12 11:48:10,0.3331,0.3329,0,0,0,0,0.3332,0,0,0,0
2019-07-12 11:48:09,0.4989,0.4989,0,0,0,0,0,0,0,0,0
2019-07-12 11:48:08,0.2507,0.2514,0,0,0,0,0.2507,0,0.2507,0,0
2019-07-12 11:48:07,0,1.3311,0,0,0.6655,0,0,0,0,0,0
2019-07-12 11:48:06,0.9974,0.9985,0,0,0,0,0.9977,0,0,0,0
2019-07-12 11:48:05,0,0,0,0,0,0,0,0,0,0,0
2019-07-12 11:48:04,0,0,0,0,0,0,0,0,0,0,0
2019-07-12 11:48:03,0,0,0,0,0,0,0,0,0,0,0
2019-07-12 11:48:02,0.9996,0.9982,0,0,0,0,0.9997,0,0,0,0
2019-07-12 11:48:01,0,0,0,0,0,0,0,0,0,0,0
2019-07-12 11:48:00,0.7481,0.7468,0,0,0,0,0.7481,0,0,0.7474,0
2019-07-12 11:47:59,0,0,0,0,0,0,0,0,0,0,0
2019-07-12 11:47:58,0,0,0,0,0,0,0,0,0,0,0
2019-07-12 11:47:57,0.6682,0.6672,0,0,0,0,0.668,0,0,0,0
2019-07-12 11:47:56,0.7502,1.5016,0,0,0,0,0.7504,0,0,0,0
