time,netdata,apps.plugin,node.d.plugin,python.d.plugin,go.d.plugin,nfs,containers,ksmd,system,kernel,other
2019-07-12 11:48:25,0,0,0,0,0,0,0,0,0,0,0
2019-07-12 11:48:24,0,0,0,0,0,0,0.2499,0,0,0,0
2019-07-12 11:48:23,0.4999,0,0,0,0,0,0,0,0,0,0
2019-07-12 11:48:22,0,0,0,0,0,0,0,0,0,0,0
2019-07-12 11:48:21,0,0,0,0,0,0,0,0,0,0,0
2019-07-12 11:48:20,0.6661,0,0,0,0,0,0,0,0,0,0
2019-07-12 11:48:19,0,0,0,0,0,0,0,0,0,0,0
2019-07-12 11:48:18,0,0,0,0,0,0,0,0,0,0,0
2019-07-12 11:48:17,0.3339,0,0,0,0,0,0,0,0,0,0
2019-07-12 11:48:16,0,0,0,0,0,0,0,0,0,0,0
2019-07-12 11:48:15,0,0,0,0,0,0,0,0,0,0,0
2019-07-12 11:48:14,0,0,0,0,0,0,0,0,0,0,0
2019-07-12 11:48:13,0,0,0,0,0,0,0,0,0.8368,0,0
2019-07-12 11:48:12,0.3323,0.3318,0,0,0,0,0,0,0,0,0
2019-07-12 11:48:11,0,0,0,0,0,0,0,0,0,0,0
2019-07-12 11:48:10,0,0,0,0,0,0,0,0,0,0,0
2019-07-12 11:48:09,0.4989,0,0,0,0,0,0,0,0,0,0
2019-07-12 11:48:08,0,0,0,0,0,0,0,0,0,0,0
2019-07-12 11:48:07,0,0,0,0,0,0,0,0,0,0,0
2019-07-12 11:48:06,0,0,0,0,0,0,0,0,0,0,0
2019-07-12 11:48:05,0,0,0,0,0,0,0,0,0,0,0
2019-07-12 11:48:04,0,0,0,0,0,0,0,0,0,0,0
2019-07-12 11:48:03,0,0,0,0,0,0,0,0,0,0,0
2019-07-12 11:48:02,0.9996,0.9982,0,0,0,0,0,0,0,0,0
2019-07-12 11:48:01,0,0,0,0,0,0,0,0,0,0,0
2019-07-12 11:48:00,0,0,0,0,0,0,0.7481,0,0,0,0
2019-07-12 11:47:59,0,0,0,0,0,0,0,0,0,0,0
2019-07-12 11:47:58,0,0,0,0,0,0,0,0,0,0,0
2019-07-12 11:47:57,0.6682,0,0,0,0,0,0,0,0,0,0
2019-07-12 11:47:56,0,0,0,0,0,0,0,0,0,0,0
2019-07-12 11:47:55,0,0.4968,0,0,0.4968,0,0,0,0,0,0
