time,netdata,apps.plugin,node.d.plugin,python.d.plugin,go.d.plugin,nfs,containers,ksmd,system,kernel,other
2019-07-12 11:48:25,9,0,0,0,0,33,31,0,54,0,5
2019-07-12 11:48:24,9,0,0,0,0,33,31,0,54,0,5
2019-07-12 11:48:23,9,0,0,0,0,33,31,0,54,0,5
2019-07-12 11:48:22,9,0,0,0,0,33,31,0,54,0,5
2019-07-12 11:48:21,9,0,0,0,0,33,31,0,54,0,5
2019-07-12 11:48:20,9,0,0,0,0,33,31,0,54,0,5
2019-07-12 11:48:19,9,0,0,0,0,33,31,0,54,0,5
2019-07-12 11:48:18,9,0,0,0,0,33,31,0,54,0,5
2019-07-12 11:48:17,9,0,0,0,0,33,31,0,54,0,5
2019-07-12 11:48:16,9,0,0,0,0,33,31,0,54,0,5
2019-07-12 11:48:15,9,0,0,0,0,33,31,0,54,0,5
2019-07-12 11:48:14,9,0,0,0,0,33,31,0,54,0,5
2019-07-12 11:48:13,9,0,0,0,0,33,31,0,54,0,5
2019-07-12 11:48:12,9,0,0,0,0,33,31,0,54,0,5
2019-07-12 11:48:11,9,0,0,0,0,33,31,0,54,0,5
2019-07-12 11:48:10,9,0,0,0,0,33,31,0,54,0,5
2019-07-12 11:48:09,9,0,0,0,0,33,31,0,54,0,5
2019-07-12 11:48:08,9,0,0,0,0,33,31,0,54,0,5
2019-07-12 11:48:07,9,0,0,0,0,33,31,0,54,0,5
2019-07-12 11:48:06,9,0,0,0,0,33,31,0,54,0,5
2019-07-12 11:48:05,9,0,0,0,0,33,31,0,54,0,5
2019-07-12 11:48:04,9,0,0,0,0,33,31,0,54,0,5
2019-07-12 11:48:03,9,0,0,0,0,33,31,0,54,0,5
2019-07-12 11:48:02,9,0,0,0,0,33,31,0,54,0,5
2019-07-12 11:48:01,9,0,0,0,0,33,31,0,54,0,5
2019-07-12 11:48:00,9,0,0,0,0,33,31,0,54,0,5
2019-07-12 11:47:59,9,0,0,0,0,33,31,0,54,0,5
2019-07-12 11:47:58,9,0,0,0,0,33,31,0,54,0,5
2019-07-12 11:47:57,9,0,0,0,0,33,31,0,54,0,5
2019-07-12 11:47:56,9,0,0,0,0,33,31,0,54,0,5
2019-07-12 11:47:55,9,0,0,0,0,33,31,0,54,0,5
2019-07-12 11:47:54,9,0,0,0,0,33,31,0,54,0,5
2019-07-12 11:47:53,9,0,0,0,0,33,31,0,54,0,5
2019-07-12 11:47:52,9,0,0,0,0,33,31,0,54,0,5
2019-07-12 11:47:51,9,0,0,0,0,33,31,0,54,0,5
2019-07-12 11:47:50,9,0,0,0,0,33,31,0,54,0,5
2019-07-12 11:47:49,9,0,0,0,0,33,31,0,54,0,5
2019-07-12 11:47:48,9,0,0,0,0,33,31,0,54,0,5
2019-07-12 11:47:47,9,0,0,0,0,33,31,0,54,0,5
2019-07-12 11:47:46,9,0,0,0,0,33,31,0,54,0,5
2019-07-12 11:47:45,9,0,0,0,0,33,31,0,54,0,5
2019-07-12 11:47:44,9,0,0,0,0,33,31,0,54,0,5
2019-07-12 11:47:43,9,0,0,0,0,33,31,0,54,0,5
2019-07-12 11:47:42,9,0,0,0,0,33,31,0,54,0,5
2019-07-12 11:47:41,9,0,0,0,0,33,31,0,54,0,5
2019-07-12 11:47:40,9,0,0,0,0,33,31,0,54,0,5
2019-07-12 11:47:39,9,0,0,0,0,33,31,0,54,0,5
2019-07-12 11:47:38,9,0,0,0,0,33,31,0,54,0,5
2019-07-12 11:47:37,9,0,0,0,0,33,31,0,54,0,5
2019-07-12 11:47:36,9,0,0,0,0,33,31,0,54,0,5
2019-07-12 11:47:35,9,0,0,0,0,33,31,0,54,0,5
2019-07-12 11:47:34,9,0,0,0,0,33,31,0,54,0,5
2019-07-12 11:47:33,9,0,0,0,0,33,31,0,54,0,5
2019-07-12 11:47:32,9,0,0,0,0,33,31,0,54,0,5
2019-07-12 11:47:31,9,0,0,0,0,33,31,0,54,0,5
2019-07-12 11:47:30,9,0,0,0,0,33,31,0,54,0,5
2019-07-12 11:47:29,9,0,0,0,0,33,31,0,54,0,5
2019-07-12 11:47:28,9,0,0,0,0,33,31,0,54,0,5
2019-07-12 11:47:27,9,0,0,0,0,33,31,0,54,0,5
2019-07-12 11:47:26,9,0,0,0,0,33,31,0,54,0,5
2019-07-12 11:47:25,11,0,0,0,0,33,31,0,56,0,5
2019-07-12 11:47:24,11,0,0,0,0,33,31,0,56,0,5
2019-07-12 11:47:23,11,0,0,0,0,33,31,0,56,0,5
2019-07-12 11:47:22,11,0,0,0,0,33,31,0,56,0,5
2019-07-12 11:47:21,11,0,0,0,0,33,31,0,56,0,5
2019-07-12 11:47:20,11,0,0,0,0,33,31,0,57,0,5
2019-07-12 11:47:19,11,0,0,0,0,33,31,0,56,0,5
2019-07-12 11:47:18,11,0,0,0,0,33,31,0,56,0,5
2019-07-12 11:47:17,11,0,0,0,0,33,31,0,56,0,5
2019-07-12 11:47:16,11,0,0,0,0,33,31,0,56,0,5
2019-07-12 11:47:15,11,0,0,0,0,33,31,0,56,0,5
2019-07-12 11:47:14,11,0,0,0,0,33,31,0,56,0,5
2019-07-12 11:47:13,11,0,0,0,0,33,31,0,56,0,5
2019-07-12 11:47:12,11,0,0,0,0,33,31,0,56,0,5
2019-07-12 11:47:11,11,0,0,0,0,33,31,0,56,0,5
2019-07-12 11:47:10,11,0,0,0,0,33,31,0,56,0,5
2019-07-12 11:47:09,11,0,0,0,0,33,31,0,56,0,5
2019-07-12 11:47:08,11,0,0,0,0,33,31,0,56,0,5
2019-07-12 11:47:07,11,0,0,0,0,33,31,0,56,0,5
2019-07-12 11:47:06,11,0,0,0,0,33,31,0,56,0,5
2019-07-12 11:47:05,11,0,0,0,0,33,31,0,56,0,5
2019-07-12 11:47:04,11,0,0,0,0,33,31,0,56,0,5
2019-07-12 11:47:03,11,0,0,0,0,33,31,0,56,0,5
2019-07-12 11:47:02,11,0,0,0,0,33,31,0,56,0,5
2019-07-12 11:47:01,11,0,0,0,0,33,31,0,56,0,5
2019-07-12 11:47:00,11,0,0,0,0,33,31,0,56,0,5
2019-07-12 11:46:59,11,0,0,0,0,33,31,0,56,0,5
2019-07-12 11:46:58,11,0,0,0,0,33,31,0,56,0,5
2019-07-12 11:46:57,11,0,0,0,0,33,31,0,56,0,5
2019-07-12 11:46:56,11,0,0,0,0,33,31,0,56,0,5
2019-07-12 11:46:55,11,0,0,0,0,33,31,0,56,0,5
2019-07-12 11:46:54,11,0,0,0,0,33,31,0,56,0,5
2019-07-12 11:46:53,11,0,0,0,0,33,31,0,56,0,5
2019-07-12 11:46:52,11,0,0,0,0,33,31,0,56,0,5
2019-07-12 11:46:51,11,0,0,0,0,33,31,0,56,0,5
2019-07-12 11:46:50,11,0,0,0,0,33,31,0,56,0,5
2019-07-12 11:46:49,11,0,0,0,0,33,31,0,56,0,5
2019-07-12 11:46:48,11,0,0,0,0,33,31,0,56,0,5
2019-07-12 11:46:47,11,0,0,0,0,33,31,0,56,0,5
2019-07-12 11:46:46,11,0,0,0,0,33,31,0,56,0,5
2019-07-12 11:46:45,11,0,0,0,0,33,31,0,56,0,5
2019-07-12 11:46:44,11,0,0,0,0,33,31,0,56,0,5
2019-07-12 11:46:43,11,0,0,0,0,33,31,0,56,0,5
2019-07-12 11:46:42,11,0,0,0,0,33,31,0,56,0,5
2019-07-12 11:46:41,11,0,0,0,0,33,31,0,56,0,5
2019-07-12 11:46:40,11,0,0,0,0,33,31,0,56,0,5
2019-07-12 11:46:39,11,0,0,0,0,33,31,0,56,0,5
2019-07-12 11:46:38,11,0,0,0,0,33,31,0,56,0,5
2019-07-12 11:46:37,11,0,0,0,0,33,31,0,56,0,5
2019-07-12 11:46:36,11,0,0,0,0,33,31,0,56,0,5
2019-07-12 11:46:35,11,0,0,0,0,33,31,0,56,0,5
2019-07-12 11:46:34,11,0,0,0,0,33,31,0,56,0,5
2019-07-12 11:46:33,11,0,0,0,0,33,31,0,56,0,5
2019-07-12 11:46:32,11,0,0,0,0,33,31,0,56,0,5
2019-07-12 11:46:31,11,0,0,0,0,33,31,0,56,0,5
2019-07-12 11:46:30,11,0,0,0,0,33,31,0,56,0,5
2019-07-12 11:46:29,11,0,0,0,0,33,31,0,56,0,5
2019-07-12 11:46:28,11,0,0,0,0,33,31,0,56,0,5
2019-07-12 11:46:27,11,0,0,0,0,33,31,0,56,0,5
2019-07-12 11:46:26,11,0,0,0,0,33,31,0,56,0,5
2019-07-12 11:46:25,11,0,0,0,0,33,31,0,56,0,5
2019-07-12 11:46:24,11,0,0,0,0,33,31,0,56,0,5
2019-07-12 11:46:23,11,0,0,0,0,33,31,0,56,0,5
2019-07-12 11:46:22,11,0,0,0,0,33,31,0,56,0,5
2019-07-12 11:46:21,11,0,0,0,0,33,31,0,56,0,5
2019-07-12 11:46:20,11,0,0,0,0,33,31,0,56,0,5
2019-07-12 11:46:19,11,0,0,0,0,33,31,0,56,0,5
2019-07-12 11:46:18,11,0,0,0,0,33,31,0,56,0,5
2019-07-12 11:46:17,11,0,0,0,0,33,31,0,56,0,5
2019-07-12 11:46:16,11,0,0,0,0,33,31,0,56,0,5
2019-07-12 11:46:15,11,0,0,0,0,33,31,0,56,0,5
2019-07-12 11:46:14,11,0,0,0,0,33,31,0,56,0,5
2019-07-12 11:46:13,11,0,0,0,0,33,31,0,56,0,5
2019-07-12 11:46:12,11,0,0,0,0,33,31,0,56,0,5
2019-07-12 11:46:11,11,0,0,0,0,33,31,0,56,0,5
2019-07-12 11:46:10,11,0,0,0,0,33,31,0,56,0,5
2019-07-12 11:46:09,11,0,0,0,0,33,31,0,56,0,5
2019-07-12 11:46:08,11,0,0,0,0,33,31,0,56,0,5
2019-07-12 11:46:07,11,0,0,0,0,33,31,0,56,0,5
2019-07-12 11:46:06,11,0,0,0,0,33,31,0,56,0,5
2019-07-12 11:46:05,11,0,0,0,0,33,31,0,56,0,5
2019-07-12 11:46:04,11,0,0,0,0,33,31,0,56,0,5
2019-07-12 11:46:03,11,0,0,0,0,33,31,0,56,0,5
2019-07-12 11:46:02,6,0,0,0,0,33,31,0,51,0,5
2019-07-12 11:46:01,6,0,0,0,0,33,31,0,51,0,5
2019-07-12 11:46:00,6,0,0,0,0,33,31,0,51,0,5
2019-07-12 11:45:59,6,0,0,0,0,33,31,0,51,0,5
2019-07-12 11:45:58,6,0,0,0,0,33,31,0,51,0,5
2019-07-12 11:45:57,6,0,0,0,0,33,31,0,51,0,5
2019-07-12 11:45:56,6,0,0,0,0,33,31,0,51,0,5
2019-07-12 11:45:55,6,0,0,0,0,33,31,0,51,0,5
2019-07-12 11:45:54,6,0,0,0,0,33,31,0,51,0,5
2019-07-12 11:45:53,6,0,0,0,0,33,31,0,51,0,5
2019-07-12 11:45:52,6,0,0,0,0,33,31,0,51,0,5
2019-07-12 11:45:51,6,0,0,0,0,33,31,0,51,0,5
2019-07-12 11:45:50,6,0,0,0,0,33,31,0,51,0,5
2019-07-12 11:45:49,6,0,0,0,0,33,31,0,51,0,5
2019-07-12 11:45:48,6,0,0,0,0,33,31,0,51,0,5
2019-07-12 11:45:47,6,0,0,0,0,33,31,0,51,0,5
2019-07-12 11:45:46,6,0,0,0,0,33,31,0,51,0,5
2019-07-12 11:45:45,6,0,0,0,0,33,31,0,51,0,5
2019-07-12 11:45:44,6,0,0,0,0,33,31,0,51,0,5
2019-07-12 11:45:43,6,0,0,0,0,33,31,0,51,0,5
2019-07-12 11:45:42,6,0,0,0,0,33,31,0,51,0,5
2019-07-12 11:45:41,6,0,0,0,0,33,31,0,51,0,5
2019-07-12 11:45:40,6,0,0,0,0,33,31,0,51,0,5
2019-07-12 11:45:39,6,0,0,0,0,33,31,0,51,0,5
