time,netdata,apps.plugin,node.d.plugin,python.d.plugin,go.d.plugin,nfs,containers,ksmd,system,kernel,other
2019-07-12 11:48:25,15,1,0,3,9,32,59,1,172,126,34
2019-07-12 11:48:24,15,1,0,3,9,32,59,1,172,126,34
2019-07-12 11:48:23,15,1,0,3,9,32,59,1,172,126,34
2019-07-12 11:48:22,15,1,0,3,9,32,59,1,172,126,34
2019-07-12 11:48:21,15,1,0,3,9,32,59,1,172,126,34
2019-07-12 11:48:20,15,1,0,3,9,32,59,1,172,126,34
2019-07-12 11:48:19,15,1,0,3,9,32,59,1,172,126,34
2019-07-12 11:48:18,15,1,0,3,9,32,59,1,172,126,34
2019-07-12 11:48:17,15,1,0,3,9,32,59,1,172,126,34
2019-07-12 11:48:16,15,1,0,3,9,32,59,1,172,126,34
2019-07-12 11:48:15,15,1,0,3,9,32,59,1,172,126,34
2019-07-12 11:48:14,15,1,0,3,9,32,59,1,172,126,34
2019-07-12 11:48:13,15,1,0,3,9,32,59,1,172,126,34
2019-07-12 11:48:12,15,1,0,3,9,32,59,1,172,126,34
2019-07-12 11:48:11,15,1,0,3,9,32,59,1,172,126,34
2019-07-12 11:48:10,15,1,0,3,9,32,59,1,172,126,34
2019-07-12 11:48:09,15,1,0,3,9,32,59,1,172,126,34
2019-07-12 11:48:08,15,1,0,3,9,32,59,1,172,126,34
2019-07-12 11:48:07,15,1,0,3,9,32,59,1,172,126,34
2019-07-12 11:48:06,15,1,0,3,9,32,59,1,172,126,34
2019-07-12 11:48:05,15,1,0,3,9,32,59,1,172,126,34
2019-07-12 11:48:04,15,1,0,3,9,32,59,1,172,126,34
2019-07-12 11:48:03,15,1,0,3,9,32,59,1,172,126,34
2019-07-12 11:48:02,15,1,0,3,9,32,59,1,172,126,34
2019-07-12 11:48:01,15,1,0,3,9,32,59,1,172,126,34
2019-07-12 11:48:00,15,1,0,3,9,32,59,1,172,126,34
2019-07-12 11:47:59,15,1,0,3,9,32,59,1,172,126,34
2019-07-12 11:47:58,15,1,0,3,9,32,59,1,172,126,34
2019-07-12 11:47:57,15,1,0,3,9,32,59,1,172,126,34
2019-07-12 11:47:56,15,1,0,3,9,32,59,1,172,126,34
2019-07-12 11:47:55,15,1,0,3,9,32,59,1,172,126,34
2019-07-12 11:47:54,15,1,0,3,9,32,59,1,172,126,34
2019-07-12 11:47:53,15,1,0,3,9,32,59,1,172,126,34
2019-07-12 11:47:52,15,1,0,3,9,32,59,1,172,126,34
2019-07-12 11:47:51,15,1,0,3,9,32,59,1,172,126,34
2019-07-12 11:47:50,15,1,0,3,9,32,59,1,172,126,34
2019-07-12 11:47:49,15,1,0,3,9,32,59,1,172,126,34
2019-07-12 11:47:48,15,1,0,3,9,32,59,1,172,126,34
2019-07-12 11:47:47,15,1,0,3,9,32,59,1,172,126,34
2019-07-12 11:47:46,15,1,0,3,9,32,59,1,172,126,34
2019-07-12 11:47:45,15,1,0,3,9,32,59,1,172,126,34
2019-07-12 11:47:44,15,1,0,3,9,32,59,1,172,126,34
2019-07-12 11:47:43,15,1,0,3,9,32,59,1,172,126,34
2019-07-12 11:47:42,15,1,0,3,9,32,59,1,170,126,34
2019-07-12 11:47:41,15,1,0,3,9,32,59,1,170,126,34
2019-07-12 11:47:40,15,1,0,3,9,32,59,1,170,126,34
2019-07-12 11:47:39,15,1,0,3,9,32,59,1,170,126,34
2019-07-12 11:47:38,15,1,0,3,9,32,59,1,170,126,34
2019-07-12 11:47:37,15,1,0,3,9,32,59,1,170,126,34
2019-07-12 11:47:36,15,1,0,3,9,32,59,1,170,126,34
2019-07-12 11:47:35,15,1,0,3,9,32,59,1,170,126,34
2019-07-12 11:47:34,15,1,0,3,9,32,59,1,170,126,34
2019-07-12 11:47:33,15,1,0,3,9,32,59,1,170,126,34
2019-07-12 11:47:32,15,1,0,3,9,32,59,1,170,126,34
2019-07-12 11:47:31,15,1,0,3,9,32,59,1,170,126,34
2019-07-12 11:47:30,15,1,0,3,9,32,59,1,170,126,34
2019-07-12 11:47:29,15,1,0,3,9,32,59,1,170,126,34
2019-07-12 11:47:28,15,1,0,3,9,32,59,1,170,126,34
2019-07-12 11:47:27,15,1,0,3,9,32,59,1,170,126,34
2019-07-12 11:47:26,15,1,0,3,9,32,59,1,170,126,34
2019-07-12 11:47:25,15,1,0,3,9,32,59,1,170,126,34
2019-07-12 11:47:24,15,1,0,3,9,32,59,1,170,126,34
2019-07-12 11:47:23,15,1,0,3,9,32,59,1,170,126,34
2019-07-12 11:47:22,15,1,0,3,9,32,59,1,170,126,34
2019-07-12 11:47:21,15,1,0,3,9,32,59,1,170,126,34
2019-07-12 11:47:20,15,1,0,3,9,32,59,1,170,126,34
2019-07-12 11:47:19,15,1,0,3,9,32,59,1,170,126,34
2019-07-12 11:47:18,15,1,0,3,9,32,59,1,170,126,34
2019-07-12 11:47:17,15,1,0,3,9,32,59,1,170,126,34
2019-07-12 11:47:16,15,1,0,3,9,32,59,1,170,126,34
2019-07-12 11:47:15,15,1,0,3,9,32,59,1,170,126,34
2019-07-12 11:47:14,15,1,0,3,9,32,59,1,170,126,34
2019-07-12 11:47:13,15,1,0,3,9,32,59,1,170,126,34
2019-07-12 11:47:12,15,1,0,3,9,32,59,1,170,126,34
2019-07-12 11:47:11,15,1,0,3,9,32,59,1,170,126,34
2019-07-12 11:47:10,15,1,0,3,9,32,59,1,170,126,34
2019-07-12 11:47:09,15,1,0,3,9,32,59,1,170,126,34
2019-07-12 11:47:08,15,1,0,3,9,32,59,1,170,126,34
2019-07-12 11:47:07,15,1,0,3,9,32,59,1,170,126,34
2019-07-12 11:47:06,15,1,0,3,9,32,59,1,170,126,34
2019-07-12 11:47:05,15,1,0,3,9,32,59,1,170,126,34
2019-07-12 11:47:04,15,1,0,3,9,32,59,1,170,126,34
2019-07-12 11:47:03,15,1,0,3,9,32,59,1,170,126,34
2019-07-12 11:47:02,15,1,0,3,9,32,59,1,170,126,34
2019-07-12 11:47:01,15,1,0,3,9,32,59,1,170,126,34
2019-07-12 11:47:00,15,1,0,3,9,32,59,1,170,126,34
2019-07-12 11:46:59,15,1,0,3,9,32,59,1,170,126,34
2019-07-12 11:46:58,15,1,0,3,9,32,59,1,170,126,34
2019-07-12 11:46:57,15,1,0,3,9,32,59,1,170,126,34
2019-07-12 11:46:56,15,1,0,3,9,32,59,1,170,126,34
2019-07-12 11:46:55,15,1,0,3,9,32,59,1,170,126,34
2019-07-12 11:46:54,15,1,0,3,9,32,59,1,170,126,34
2019-07-12 11:46:53,15,1,0,3,9,32,59,1,170,126,34
2019-07-12 11:46:52,15,1,0,3,9,32,59,1,170,126,34
2019-07-12 11:46:51,15,1,0,3,9,32,59,1,170,126,34
2019-07-12 11:46:50,15,1,0,3,9,32,59,1,170,126,34
2019-07-12 11:46:49,15,1,0,3,9,32,59,1,170,126,34
2019-07-12 11:46:48,15,1,0,3,9,32,59,1,170,126,34
2019-07-12 11:46:47,15,1,0,3,9,32,59,1,170,126,34
2019-07-12 11:46:46,15,1,0,3,9,32,59,1,170,126,34
2019-07-12 11:46:45,15,1,0,3,9,32,59,1,170,126,34
2019-07-12 11:46:44,15,1,0,3,9,32,59,1,170,126,34
2019-07-12 11:46:43,15,1,0,3,9,32,59,1,170,126,34
2019-07-12 11:46:42,15,1,0,3,9,32,59,1,170,126,34
2019-07-12 11:46:41,15,1,0,3,9,32,59,1,170,126,34
2019-07-12 11:46:40,15,1,0,3,9,32,59,1,170,126,34
2019-07-12 11:46:39,15,1,0,3,9,32,59,1,170,126,34
2019-07-12 11:46:38,15,1,0,3,9,32,59,1,170,126,34
2019-07-12 11:46:37,15,1,0,3,9,32,59,1,170,126,34
2019-07-12 11:46:36,15,1,0,3,9,32,59,1,170,126,34
2019-07-12 11:46:35,15,1,0,3,9,32,59,1,170,126,34
2019-07-12 11:46:34,15,1,0,3,9,32,59,1,170,126,34
2019-07-12 11:46:33,15,1,0,3,9,32,59,1,170,126,34
2019-07-12 11:46:32,15,1,0,3,9,32,59,1,170,126,34
2019-07-12 11:46:31,15,1,0,3,9,32,59,1,170,126,34
2019-07-12 11:46:30,15,1,0,3,9,32,59,1,170,126,34
2019-07-12 11:46:29,15,1,0,3,9,32,59,1,170,126,34
2019-07-12 11:46:28,15,1,0,3,9,32,59,1,170,126,34
2019-07-12 11:46:27,15,1,0,3,9,32,59,1,170,126,34
2019-07-12 11:46:26,15,1,0,3,9,32,59,1,170,126,34
2019-07-12 11:46:25,15,1,0,3,9,32,59,1,170,126,34
2019-07-12 11:46:24,15,1,0,3,9,32,59,1,170,126,34
2019-07-12 11:46:23,15,1,0,3,9,32,59,1,170,126,34
2019-07-12 11:46:22,15,1,0,3,9,32,59,1,170,126,34
2019-07-12 11:46:21,15,1,0,3,9,32,59,1,170,126,34
2019-07-12 11:46:20,15,1,0,3,9,32,59,1,170,126,34
2019-07-12 11:46:19,15,1,0,3,9,32,59,1,170,126,34
2019-07-12 11:46:18,15,1,0,3,9,32,59,1,170,126,34
2019-07-12 11:46:17,15,1,0,3,9,32,59,1,170,126,34
2019-07-12 11:46:16,15,1,0,3,9,32,59,1,170,126,34
