time,reads,writes
2019-07-12 11:48:25,0,0
2019-07-12 11:48:24,0,0
2019-07-12 11:48:23,0,0
2019-07-12 11:48:22,0,0
2019-07-12 11:48:21,0,0
2019-07-12 11:48:20,0,-0.2534509
2019-07-12 11:48:19,0,-1.746549
2019-07-12 11:48:18,0,0
2019-07-12 11:48:17,0,-0.1268363
2019-07-12 11:48:16,0,-0.8731637
2019-07-12 11:48:15,0,0
2019-07-12 11:48:14,0,0
2019-07-12 11:48:13,0,-0.3014917
2019-07-12 11:48:12,0,-2.44019
2019-07-12 11:48:11,0,-4.258318
2019-07-12 11:48:10,0,0
2019-07-12 11:48:09,0,0
2019-07-12 11:48:08,0,0
2019-07-12 11:48:07,0,-0.1496361
2019-07-12 11:48:06,0,-0.8503639
2019-07-12 11:48:05,0,0
2019-07-12 11:48:04,0,0
2019-07-12 11:48:03,0,-0.2979448
2019-07-12 11:48:02,0,-1.702055
2019-07-12 11:48:01,0,0
2019-07-12 11:48:00,0,0
2019-07-12 11:47:59,0,0
2019-07-12 11:47:58,0,0
2019-07-12 11:47:57,0,0
2019-07-12 11:47:56,0,0
2019-07-12 11:47:55,0,0
2019-07-12 11:47:54,0,0
2019-07-12 11:47:53,0,0
2019-07-12 11:47:52,0,0
2019-07-12 11:47:51,0,0
2019-07-12 11:47:50,0,-0.2952087
2019-07-12 11:47:49,0,-1.704791
2019-07-12 11:47:48,0,0
2019-07-12 11:47:47,0,0
2019-07-12 11:47:46,0,0
2019-07-12 11:47:45,0,0
2019-07-12 11:47:44,0,-0.309638
2019-07-12 11:47:43,0,-1.690362
2019-07-12 11:47:42,0,0
2019-07-12 11:47:41,0,0
2019-07-12 11:47:40,0,0
2019-07-12 11:47:39,0,0
2019-07-12 11:47:38,0,-0.3535098
2019-07-12 11:47:37,0,-1.6464902
2019-07-12 11:47:36,0,0
2019-07-12 11:47:35,0,0
2019-07-12 11:47:34,0,0
2019-07-12 11:47:33,0,-1.0118152
2019-07-12 11:47:32,0,-4.988185
2019-07-12 11:47:31,0,0
2019-07-12 11:47:30,0,0
2019-07-12 11:47:29,0,0
2019-07-12 11:47:28,0,-0.340297
2019-07-12 11:47:27,0,-2.014069
2019-07-12 11:47:26,0,-1.6456341
2019-07-12 11:47:25,0,0
2019-07-12 11:47:24,0,0
2019-07-12 11:47:23,0,-0.1728613
2019-07-12 11:47:22,0,-0.8271387
2019-07-12 11:47:21,0,0
2019-07-12 11:47:20,0,-0.3355047
2019-07-12 11:47:19,0,-1.6644953
2019-07-12 11:47:18,0,0
2019-07-12 11:47:17,0,0
2019-07-12 11:47:16,0,0
2019-07-12 11:47:15,0,0
2019-07-12 11:47:14,0,0
2019-07-12 11:47:13,0,-0.3800978
2019-07-12 11:47:12,0,-1.6199022
2019-07-12 11:47:11,0,0
2019-07-12 11:47:10,0,0
2019-07-12 11:47:09,0,0
2019-07-12 11:47:08,0,0
2019-07-12 11:47:07,0,0
2019-07-12 11:47:06,0,0
2019-07-12 11:47:05,0,0
2019-07-12 11:47:04,0,0
2019-07-12 11:47:03,0,0
2019-07-12 11:47:02,0,0
2019-07-12 11:47:01,0,-0.388585
2019-07-12 11:47:00,0,-1.611415
2019-07-12 11:46:59,0,0
2019-07-12 11:46:58,0,0
2019-07-12 11:46:57,0,0
2019-07-12 11:46:56,0,0
2019-07-12 11:46:55,0,-0.3805929
2019-07-12 11:46:54,0,-1.6194071
2019-07-12 11:46:53,0,-0.3905736
2019-07-12 11:46:52,0,-1.6094264
2019-07-12 11:46:51,0,0
2019-07-12 11:46:50,0,-0.3873363
