time,received,sent,forwarded,delivered
2019-07-12 11:48:25,0,0,0,0
2019-07-12 11:48:24,0,0,0,0
2019-07-12 11:48:23,0,0,0,0
2019-07-12 11:48:22,0,0,0,0
2019-07-12 11:48:21,0,0,0,0
2019-07-12 11:48:20,0,0,0,0
2019-07-12 11:48:19,0,0,0,0
2019-07-12 11:48:18,0,0,0,0
2019-07-12 11:48:17,0.2529114,-0.1264557,0,0.2529114
2019-07-12 11:48:16,1.747089,-0.8735443,0,1.747089
2019-07-12 11:48:15,0,0,0,0
2019-07-12 11:48:14,0,0,0,0
2019-07-12 11:48:13,0,0,0,0
2019-07-12 11:48:12,0,0,0,0
2019-07-12 11:48:11,0,0,0,0
2019-07-12 11:48:10,0,0,0,0
2019-07-12 11:48:09,0,0,0,0
2019-07-12 11:48:08,0,0,0,0
2019-07-12 11:48:07,0.2981795,-0.1490898,0,0.2981795
2019-07-12 11:48:06,1.70182,-0.8509102,0,1.70182
2019-07-12 11:48:05,0,0,0,0
2019-07-12 11:48:04,0,0,0,0
2019-07-12 11:48:03,0,0,0,0
2019-07-12 11:48:02,0,0,0,0
2019-07-12 11:48:01,0,0,0,0
2019-07-12 11:48:00,0,0,0,0
2019-07-12 11:47:59,0,0,0,0
2019-07-12 11:47:58,0,0,0,0
2019-07-12 11:47:57,0.2993878,-0.1496939,0,0.2993878
2019-07-12 11:47:56,1.700612,-0.8503061,0,1.700612
2019-07-12 11:47:55,0,0,0,0
2019-07-12 11:47:54,0,0,0,0
2019-07-12 11:47:53,0,0,0,0
2019-07-12 11:47:52,0,0,0,0
2019-07-12 11:47:51,0,0,0,0
2019-07-12 11:47:50,0,0,0,0
2019-07-12 11:47:49,0,0,0,0
2019-07-12 11:47:48,0,0,0,0
2019-07-12 11:47:47,0.2999881,-0.149994,0,0.2999881
2019-07-12 11:47:46,1.700012,-0.850006,0,1.700012
2019-07-12 11:47:45,0,0,0,0
2019-07-12 11:47:44,0,0,0,0
2019-07-12 11:47:43,0,0,0,0
2019-07-12 11:47:42,0,0,0,0
2019-07-12 11:47:41,0,0,0,0
2019-07-12 11:47:40,0,0,0,0
2019-07-12 11:47:39,0,0,0,0
2019-07-12 11:47:38,4.23064,-2.820427,0,4.23064
2019-07-12 11:47:37,20.10892,-13.349352,0,20.10892
2019-07-12 11:47:36,1.6604424,-0.8302212,0,1.6604424
2019-07-12 11:47:35,0,0,0,0
2019-07-12 11:47:34,0,0,0,0
2019-07-12 11:47:33,0,0,0,0
2019-07-12 11:47:32,0,0,0,0
2019-07-12 11:47:31,0,0,0,0
2019-07-12 11:47:30,0,0,0,0
2019-07-12 11:47:29,0,0,0,0
2019-07-12 11:47:28,0,0,0,0
2019-07-12 11:47:27,1.4126527,-0.8829079,0,1.4126527
2019-07-12 11:47:26,6.587347,-4.117092,0,6.587347
2019-07-12 11:47:25,0,0,0,0
2019-07-12 11:47:24,0,0,0,0
2019-07-12 11:47:23,0,0,0,0
2019-07-12 11:47:22,36.09982,-27.33773,0,36.09982
2019-07-12 11:47:21,174.0717,-131.83262,0,174.0717
2019-07-12 11:47:20,20.82849,-15.829654,0,20.82849
2019-07-12 11:47:19,0,0,0,0
2019-07-12 11:47:18,0,0,0,0
2019-07-12 11:47:17,0.3368275,-0.1684138,0,0.3368275
2019-07-12 11:47:16,1.6631725,-0.8315862,0,1.6631725
2019-07-12 11:47:15,0,0,0,0
2019-07-12 11:47:14,0,0,0,0
2019-07-12 11:47:13,0,0,0,0
2019-07-12 11:47:12,0,0,0,0
2019-07-12 11:47:11,0,0,0,0
2019-07-12 11:47:10,0,0,0,0
2019-07-12 11:47:09,0,0,0,0
2019-07-12 11:47:08,0,0,0,0
2019-07-12 11:47:07,0.3791139,-0.1895569,0,0.3791139
2019-07-12 11:47:06,1.6208861,-0.8104431,0,1.6208861
2019-07-12 11:47:05,0,0,0,0
2019-07-12 11:47:04,0,0,0,0
2019-07-12 11:47:03,0,0,0,0
2019-07-12 11:47:02,0,0,0,0
2019-07-12 11:47:01,0,0,0,0
2019-07-12 11:47:00,0,0,0,0
2019-07-12 11:46:59,2.280321,-1.520214,0,2.280321
2019-07-12 11:46:58,12.624773,-8.416516,0,12.624773
2019-07-12 11:46:57,14.817722,-9.813652,0,14.817722
2019-07-12 11:46:56,12.987642,-8.389924,0,12.987642
2019-07-12 11:46:55,9.188294,-6.378697,0,9.188294
2019-07-12 11:46:54,11.381819,-9.182646,0,11.381819
2019-07-12 11:46:53,18.77235,-14.213498,0,18.77235
2019-07-12 11:46:52,21.5205,-12.467131,0,21.5205
2019-07-12 11:46:51,6.204985,-3.506923,0,6.204985
2019-07-12 11:46:50,23.75922,-12.556065,0,23.75922
2019-07-12 11:46:49,31.46238,-18.55473,0,31.46238
2019-07-12 11:46:48,0,0,0,0
2019-07-12 11:46:47,0,0,0,0
2019-07-12 11:46:46,0.3980996,-0.1990498,0,0.3980996
2019-07-12 11:46:45,1.6019004,-0.8009502,0,1.6019004
2019-07-12 11:46:44,0,0,0,0
2019-07-12 11:46:43,0,0,0,0
2019-07-12 11:46:42,0,0,0,0
2019-07-12 11:46:41,0,0,0,0
2019-07-12 11:46:40,0,0,0,0
2019-07-12 11:46:39,0,0,0,0
2019-07-12 11:46:38,0,0,0,0
2019-07-12 11:46:37,0,0,0,0
2019-07-12 11:46:36,0,0,0,0
2019-07-12 11:46:35,0.4187033,-0.2093517,0,0.4187033
2019-07-12 11:46:34,1.5812967,-0.7906483,0,1.5812967
2019-07-12 11:46:33,0,0,0,0
2019-07-12 11:46:32,0,0,0,0
2019-07-12 11:46:31,0,0,0,0
2019-07-12 11:46:30,0,0,0,0
2019-07-12 11:46:29,0,0,0,0
2019-07-12 11:46:28,0,0,0,0
