time,switches
2019-07-12 11:48:25,303.0325
2019-07-12 11:48:24,292.811
2019-07-12 11:48:23,289.7583
2019-07-12 11:48:22,300.4352
2019-07-12 11:48:21,298.3804
2019-07-12 11:48:20,273.7388
2019-07-12 11:48:19,303.6247
2019-07-12 11:48:18,285.1327
2019-07-12 11:48:17,306.9704
2019-07-12 11:48:16,414.0444
2019-07-12 11:48:15,313.3391
2019-07-12 11:48:14,340.8456
2019-07-12 11:48:13,490.3104
2019-07-12 11:48:12,343.1923
2019-07-12 11:48:11,299.1563
2019-07-12 11:48:10,304.1831
2019-07-12 11:48:09,301.2542
2019-07-12 11:48:08,317.4699
2019-07-12 11:48:07,295.8754
2019-07-12 11:48:06,391.628
2019-07-12 11:48:05,320.2796
2019-07-12 11:48:04,311.3091
2019-07-12 11:48:03,282.3138
2019-07-12 11:48:02,302.5117
2019-07-12 11:48:01,284.1833
2019-07-12 11:48:00,291.8132
2019-07-12 11:47:59,287.4305
2019-07-12 11:47:58,291.614
2019-07-12 11:47:57,294.1055
2019-07-12 11:47:56,340.21
2019-07-12 11:47:55,352.3056
2019-07-12 11:47:54,320.4227
2019-07-12 11:47:53,278.9494
2019-07-12 11:47:52,282.0731
2019-07-12 11:47:51,293.3045
2019-07-12 11:47:50,294.1418
2019-07-12 11:47:49,305.5427
2019-07-12 11:47:48,288.7537
2019-07-12 11:47:47,309.1709
2019-07-12 11:47:46,329.6881
2019-07-12 11:47:45,319.1992
2019-07-12 11:47:44,341.4213
2019-07-12 11:47:43,421.6355
2019-07-12 11:47:42,310.4107
2019-07-12 11:47:41,261.9693
2019-07-12 11:47:40,306.2758
2019-07-12 11:47:39,292.3619
2019-07-12 11:47:38,381.0306
2019-07-12 11:47:37,610.7383
2019-07-12 11:47:36,318.2754
2019-07-12 11:47:35,312.903
2019-07-12 11:47:34,293.7987
2019-07-12 11:47:33,308.0476
2019-07-12 11:47:32,326.2051
2019-07-12 11:47:31,304.086
2019-07-12 11:47:30,300.6567
2019-07-12 11:47:29,287.5771
2019-07-12 11:47:28,311.658
2019-07-12 11:47:27,377.8505
2019-07-12 11:47:26,580.7741
2019-07-12 11:47:25,295.1956
2019-07-12 11:47:24,312.5821
2019-07-12 11:47:23,356.9531
2019-07-12 11:47:22,1196.737
2019-07-12 11:47:21,4628.585
2019-07-12 11:47:20,930.7061
2019-07-12 11:47:19,351.9567
2019-07-12 11:47:18,400.1178
2019-07-12 11:47:17,315.9949
2019-07-12 11:47:16,427.7285
2019-07-12 11:47:15,334.6326
2019-07-12 11:47:14,408.761
2019-07-12 11:47:13,498.6119
2019-07-12 11:47:12,304.8601
2019-07-12 11:47:11,309.0656
2019-07-12 11:47:10,326.614
2019-07-12 11:47:09,301.4892
2019-07-12 11:47:08,314.4657
2019-07-12 11:47:07,319.4235
2019-07-12 11:47:06,341.2942
2019-07-12 11:47:05,308.3442
2019-07-12 11:47:04,300.3306
2019-07-12 11:47:03,286.7356
2019-07-12 11:47:02,295.3393
2019-07-12 11:47:01,299.2556
2019-07-12 11:47:00,314.5201
2019-07-12 11:46:59,320.8224
2019-07-12 11:46:58,463.3277
2019-07-12 11:46:57,542.9671
2019-07-12 11:46:56,501.0405
2019-07-12 11:46:55,457.7894
2019-07-12 11:46:54,564.9933
2019-07-12 11:46:53,582.7826
2019-07-12 11:46:52,608.6822
2019-07-12 11:46:51,431.8462
2019-07-12 11:46:50,568.4006
2019-07-12 11:46:49,686.8645
2019-07-12 11:46:48,292.6392
