time,received,sent
2019-07-12 11:48:25,0,0
2019-07-12 11:48:24,0,0
2019-07-12 11:48:23,0,0
2019-07-12 11:48:22,0,0
2019-07-12 11:48:21,0,0
2019-07-12 11:48:20,0,0
2019-07-12 11:48:19,0,0
2019-07-12 11:48:18,0,0
2019-07-12 11:48:17,0.863578,-0.614819
2019-07-12 11:48:16,5.968422,-4.249181
2019-07-12 11:48:15,0,0
2019-07-12 11:48:14,0,0
2019-07-12 11:48:13,0,0
2019-07-12 11:48:12,0,0
2019-07-12 11:48:11,0,0
2019-07-12 11:48:10,0,0
2019-07-12 11:48:09,0,0
2019-07-12 11:48:08,0,0
2019-07-12 11:48:07,1.0181973,-0.7260915
2019-07-12 11:48:06,5.813803,-4.145909
2019-07-12 11:48:05,0,0
2019-07-12 11:48:04,0,0
2019-07-12 11:48:03,0,0
2019-07-12 11:48:02,0,0
2019-07-12 11:48:01,0,0
2019-07-12 11:48:00,0,0
2019-07-12 11:47:59,0,0
2019-07-12 11:47:58,0,0
2019-07-12 11:47:57,1.0222394,-0.728974
2019-07-12 11:47:56,5.809761,-4.143026
2019-07-12 11:47:55,0,0
2019-07-12 11:47:54,0,0
2019-07-12 11:47:53,0,0
2019-07-12 11:47:52,0,0
2019-07-12 11:47:51,0,0
2019-07-12 11:47:50,0,0
2019-07-12 11:47:49,0,0
2019-07-12 11:47:48,0,0
2019-07-12 11:47:47,1.0244555,-0.7293547
2019-07-12 11:47:46,5.807545,-4.134645
2019-07-12 11:47:45,0,0
2019-07-12 11:47:44,0,0
2019-07-12 11:47:43,0,0
2019-07-12 11:47:42,0,0
2019-07-12 11:47:41,0,0
2019-07-12 11:47:40,0,0
2019-07-12 11:47:39,0,0
2019-07-12 11:47:38,11.379869,-26.04939
2019-07-12 11:47:37,54.37182,-122.63361
2019-07-12 11:47:36,5.672306,-4.045005
2019-07-12 11:47:35,0,0
2019-07-12 11:47:34,0,0
2019-07-12 11:47:33,0,0
2019-07-12 11:47:32,0,0
2019-07-12 11:47:31,0,0
2019-07-12 11:47:30,0,0
2019-07-12 11:47:29,0,0
2019-07-12 11:47:28,0,0
2019-07-12 11:47:27,1.6468119,-2.242828
2019-07-12 11:47:26,7.681188,-10.461172
2019-07-12 11:47:25,0,0
2019-07-12 11:47:24,0,0
2019-07-12 11:47:23,0,0
2019-07-12 11:47:22,22.49977,-250.3723
2019-07-12 11:47:21,108.49718,-1207.0635
2019-07-12 11:47:20,12.891054,-142.10821
2019-07-12 11:47:19,0,0
2019-07-12 11:47:18,0,0
2019-07-12 11:47:17,1.1500609,-0.8187787
2019-07-12 11:47:16,5.681939,-4.045221
2019-07-12 11:47:15,0,0
2019-07-12 11:47:14,0,0
2019-07-12 11:47:13,0,0
2019-07-12 11:47:12,0,0
2019-07-12 11:47:11,0,0
2019-07-12 11:47:10,0,0
2019-07-12 11:47:09,0,0
2019-07-12 11:47:08,0,0
2019-07-12 11:47:07,1.2945679,-0.9201437
2019-07-12 11:47:06,5.537432,-3.935856
2019-07-12 11:47:05,0,0
2019-07-12 11:47:04,0,0
2019-07-12 11:47:03,0,0
2019-07-12 11:47:02,0,0
2019-07-12 11:47:01,0,0
2019-07-12 11:47:00,0,0
2019-07-12 11:46:59,6.135452,-13.840862
2019-07-12 11:46:58,33.97658,-76.85137
2019-07-12 11:46:57,40.15821,-90.3362
2019-07-12 11:46:56,36.1153,-78.19073
2019-07-12 11:46:55,25.60226,-65.75786
2019-07-12 11:46:54,36.11243,-95.02464
2019-07-12 11:46:53,62.54728,-141.5435
2019-07-12 11:46:52,77.45703,-123.97288
