time,load1,load5,load15
2019-07-12 11:48:20,0.03,0.08,0.1
2019-07-12 11:48:15,0.03,0.08,0.1
2019-07-12 11:48:10,0.03,0.08,0.1
2019-07-12 11:48:05,0.03,0.08,0.1
2019-07-12 11:48:00,0.04,0.09,0.11
2019-07-12 11:47:55,0.04,0.09,0.11
2019-07-12 11:47:50,0.04,0.09,0.11
2019-07-12 11:47:45,0.05,0.09,0.11
2019-07-12 11:47:40,0.06,0.1,0.11
2019-07-12 11:47:35,0.06,0.1,0.11
2019-07-12 11:47:30,0.0686147,0.1,0.11
2019-07-12 11:47:25,0.07,0.1,0.11
2019-07-12 11:47:20,0.07,0.1,0.11
2019-07-12 11:47:15,0.08,0.1,0.11
2019-07-12 11:47:10,0.09,0.11,0.12
2019-07-12 11:47:05,0.1,0.11,0.12
2019-07-12 11:47:00,0.11,0.11,0.12
2019-07-12 11:46:55,0.12,0.11,0.12
2019-07-12 11:46:50,0.1286544,0.1186544,0.12
2019-07-12 11:46:45,0.13,0.12,0.12
2019-07-12 11:46:40,0.15,0.12,0.12
2019-07-12 11:46:35,0.16,0.12,0.12
2019-07-12 11:46:30,0.17,0.12,0.12
2019-07-12 11:46:25,0.19,0.12,0.12
2019-07-12 11:46:20,0.22,0.13,0.13
2019-07-12 11:46:15,0.24,0.13,0.13
2019-07-12 11:46:10,0.18,0.12,0.12
2019-07-12 11:46:05,0.1887338,0.12,0.12
2019-07-12 11:46:00,0.19,0.12,0.12
2019-07-12 11:45:55,0.21,0.12,0.12
2019-07-12 11:45:50,0.23,0.12,0.12
2019-07-12 11:45:45,0.16,0.11,0.12
2019-07-12 11:45:40,0.17,0.11,0.12
2019-07-12 11:45:35,0.2,0.11,0.12
2019-07-12 11:45:30,0.22,0.12,0.12
2019-07-12 11:45:25,0.2375053,0.12,0.12
2019-07-12 11:45:20,0.24,0.12,0.12
2019-07-12 11:45:15,0.26,0.12,0.13
2019-07-12 11:45:10,0.29,0.12,0.13
2019-07-12 11:45:05,0.31,0.13,0.13
2019-07-12 11:45:00,0.34,0.13,0.13
2019-07-12 11:44:55,0.37,0.13,0.13
2019-07-12 11:44:50,0.31,0.12,0.12
2019-07-12 11:44:45,0.34,0.12,0.13
2019-07-12 11:44:40,0.41,0.12,0.13
2019-07-12 11:44:35,0.0569012,0.0493802,0.1035176
