time,in,out
2019-07-12 11:48:25,0,0
2019-07-12 11:48:24,0,0
2019-07-12 11:48:23,0,0
2019-07-12 11:48:22,0,0
2019-07-12 11:48:21,0,0
2019-07-12 11:48:20,0,-2.019221
2019-07-12 11:48:19,0,-13.980779
2019-07-12 11:48:18,0,0
2019-07-12 11:48:17,0,-0.5047219
2019-07-12 11:48:16,0,-3.495278
2019-07-12 11:48:15,0,0
2019-07-12 11:48:14,0,0
2019-07-12 11:48:13,0,-2.993221
2019-07-12 11:48:12,0,-19.94873
2019-07-12 11:48:11,0,-17.05805
2019-07-12 11:48:10,0,0
2019-07-12 11:48:09,0,0
2019-07-12 11:48:08,0,0
2019-07-12 11:48:07,0,-1.1879805
2019-07-12 11:48:06,0,-6.812019
2019-07-12 11:48:05,0,0
2019-07-12 11:48:04,0,0
2019-07-12 11:48:03,0,-1.776745
2019-07-12 11:48:02,0,-10.223255
2019-07-12 11:48:01,0,0
2019-07-12 11:48:00,0,0
2019-07-12 11:47:59,0,0
2019-07-12 11:47:58,0,0
2019-07-12 11:47:57,0,0
2019-07-12 11:47:56,0,0
2019-07-12 11:47:55,0,0
2019-07-12 11:47:54,0,0
2019-07-12 11:47:53,0,0
2019-07-12 11:47:52,0,0
2019-07-12 11:47:51,0,0
2019-07-12 11:47:50,0,-2.349919
2019-07-12 11:47:49,0,-13.650081
2019-07-12 11:47:48,0,0
2019-07-12 11:47:47,0,0
2019-07-12 11:47:46,0,0
2019-07-12 11:47:45,0,0
2019-07-12 11:47:44,0,-1.852371
2019-07-12 11:47:43,0,-10.147629
2019-07-12 11:47:42,0,0
2019-07-12 11:47:41,0,0
2019-07-12 11:47:40,0,0
2019-07-12 11:47:39,0,0
2019-07-12 11:47:38,0,-5.629098
2019-07-12 11:47:37,0,-26.3709
2019-07-12 11:47:36,0,0
2019-07-12 11:47:35,0,0
2019-07-12 11:47:34,0,0
2019-07-12 11:47:33,0,-6.72131
2019-07-12 11:47:32,0,-33.27869
2019-07-12 11:47:31,0,0
2019-07-12 11:47:30,0,0
2019-07-12 11:47:29,0,0
2019-07-12 11:47:28,0,-1.3553555
2019-07-12 11:47:27,0,-10.875192
2019-07-12 11:47:26,0,-19.76945
2019-07-12 11:47:25,0,0
2019-07-12 11:47:24,0,0
2019-07-12 11:47:23,0,-5.477866
2019-07-12 11:47:22,0,-26.52213
2019-07-12 11:47:21,0,0
2019-07-12 11:47:20,0,-2.674713
2019-07-12 11:47:19,0,-13.325287
2019-07-12 11:47:18,0,0
2019-07-12 11:47:17,0,0
2019-07-12 11:47:16,0,0
2019-07-12 11:47:15,0,0
2019-07-12 11:47:14,0,0
2019-07-12 11:47:13,0,-2.273347
2019-07-12 11:47:12,0,-9.726653
2019-07-12 11:47:11,0,0
2019-07-12 11:47:10,0,0
2019-07-12 11:47:09,0,0
2019-07-12 11:47:08,0,0
2019-07-12 11:47:07,0,0
2019-07-12 11:47:06,0,0
2019-07-12 11:47:05,0,0
2019-07-12 11:47:04,0,0
2019-07-12 11:47:03,0,0
2019-07-12 11:47:02,0,0
2019-07-12 11:47:01,0,-2.324704
2019-07-12 11:47:00,0,-9.675296
2019-07-12 11:46:59,0,0
2019-07-12 11:46:58,0,0
2019-07-12 11:46:57,0,0
2019-07-12 11:46:56,0,0
2019-07-12 11:46:55,0,-3.79053
2019-07-12 11:46:54,0,-16.20947
2019-07-12 11:46:53,0,-4.651337
2019-07-12 11:46:52,0,-19.34866
2019-07-12 11:46:51,0,0
2019-07-12 11:46:50,0,-3.08363
2019-07-12 11:46:49,0,-12.91637
