time,running,blocked
2019-07-12 11:48:25,4,0
2019-07-12 11:48:24,3,0
2019-07-12 11:48:23,4,0
2019-07-12 11:48:22,3,0
2019-07-12 11:48:21,5,0
2019-07-12 11:48:20,4,0
2019-07-12 11:48:19,3,0
2019-07-12 11:48:18,5,0
2019-07-12 11:48:17,4,0
2019-07-12 11:48:16,3,0
2019-07-12 11:48:15,4,0
2019-07-12 11:48:14,4,0
2019-07-12 11:48:13,4,0
2019-07-12 11:48:12,5,0
2019-07-12 11:48:11,5,0
2019-07-12 11:48:10,3,0
2019-07-12 11:48:09,4,0
2019-07-12 11:48:08,3,0
2019-07-12 11:48:07,3,0
2019-07-12 11:48:06,4,0
2019-07-12 11:48:05,2,0
2019-07-12 11:48:04,4,0
2019-07-12 11:48:03,3,0
2019-07-12 11:48:02,3,0
2019-07-12 11:48:01,4,0
2019-07-12 11:48:00,4,0
2019-07-12 11:47:59,4,0
2019-07-12 11:47:58,3,0
2019-07-12 11:47:57,4,0
2019-07-12 11:47:56,3,0
2019-07-12 11:47:55,4,0
2019-07-12 11:47:54,3,0
2019-07-12 11:47:53,5,0
2019-07-12 11:47:52,5,0
2019-07-12 11:47:51,3,0
2019-07-12 11:47:50,3,0
2019-07-12 11:47:49,4,0
2019-07-12 11:47:48,3,0
2019-07-12 11:47:47,3,0
2019-07-12 11:47:46,6,0
2019-07-12 11:47:45,3,0
2019-07-12 11:47:44,5,0
2019-07-12 11:47:43,2,0
2019-07-12 11:47:42,3,0
2019-07-12 11:47:41,5,0
2019-07-12 11:47:40,3,0
2019-07-12 11:47:39,4,0
2019-07-12 11:47:38,4,0
2019-07-12 11:47:37,3,0
2019-07-12 11:47:36,4,0
2019-07-12 11:47:35,2,0
2019-07-12 11:47:34,4,0
2019-07-12 11:47:33,5,0
2019-07-12 11:47:32,5,0
2019-07-12 11:47:31,6,0
2019-07-12 11:47:30,2,0
2019-07-12 11:47:29,5,0
2019-07-12 11:47:28,5,0
2019-07-12 11:47:27,5,0
2019-07-12 11:47:26,3,0
2019-07-12 11:47:25,4,0
2019-07-12 11:47:24,4,0
2019-07-12 11:47:23,2,0
2019-07-12 11:47:22,4,0
2019-07-12 11:47:21,4,0
2019-07-12 11:47:20,5,0
2019-07-12 11:47:19,3,0
2019-07-12 11:47:18,3,0
2019-07-12 11:47:17,3,0
2019-07-12 11:47:16,4,0
2019-07-12 11:47:15,5,0
2019-07-12 11:47:14,4,0
2019-07-12 11:47:13,4,0
2019-07-12 11:47:12,5,0
2019-07-12 11:47:11,4,0
2019-07-12 11:47:10,3,0
2019-07-12 11:47:09,4,0
2019-07-12 11:47:08,4,0
2019-07-12 11:47:07,2,0
2019-07-12 11:47:06,4,0
2019-07-12 11:47:05,4,0
2019-07-12 11:47:04,4,0
2019-07-12 11:47:03,5,0
2019-07-12 11:47:02,3,0
2019-07-12 11:47:01,5,0
2019-07-12 11:47:00,3,0
2019-07-12 11:46:59,3,0
